text,emotion
I feel anxious about the situation,fear
Today has been a fantastic day,joy
The rotten food looks disgusting,disgust
I am disappointed and sad,sadness
I am enjoying this beautiful moment,joy
I feel joyful and positive,joy
That was a shocking surprise,surprise
I am delighted with the result,joy
What a surprising result,surprise
This situation makes me furious,anger
I feel frightened by the strange sound,fear
I am scared and surprised by the sudden event,"fear,surprise"
I am furious about what happened,anger
I am surprised and happy about the news,"surprise,joy"
I am unhappy about what happened,sadness
I am scared of what might happen,fear
I feel sad today,sadness
I am worried about the upcoming result,fear
I am upset because they ignored me,anger
I feel heartbroken about the situation,sadness
This makes me really mad,anger
I feel excited but also worried,"joy,fear"
The bad news made me feel sad,sadness
I am afraid of failing the test,fear
I feel sickened by the terrible smell,disgust
I was amazed by the unexpected news,surprise
I am completely surprised by the result,surprise
This situation is frightening,fear
I am amazed by what I just saw,surprise
I feel wonderful and cheerful,joy
I am angry about the unfair decision,anger
I am excited about the good news,joy
I feel disgusted by the situation,disgust
I cannot believe this happened,surprise
I am worried and scared,fear
I feel irritated and angry,anger
This dirty place makes me feel disgusted,disgust
I am feeling lonely and unhappy,sadness
I cannot believe how frustrating this is,anger
I am extremely angry about this,anger
I am angry and disgusted by this behavior,"anger,disgust"
I am annoyed by this behavior,anger
This is the best news I have received,joy
I never thought this would happen,surprise
Nothing seems to be going well today,sadness
I feel nervous and afraid,fear
That was a disgusting experience,disgust
What an unexpected announcement,surprise
